metro_area,city_name,zip_code,population,Total_QSRs,customer_satisfaction,residents_per_qsr
AZ,Tucson,85721,NA,0,NA,Inf
AZ,Tucson,85722,NA,0,NA,Inf
AZ,Tucson,85723,NA,0,NA,Inf
AZ,Tucson,85724,NA,0,NA,Inf
AZ,Tucson,85725,NA,0,NA,Inf
AZ,Tucson,85726,NA,0,NA,Inf
AZ,Tucson,85728,NA,0,NA,Inf
AZ,Tucson,85730,39055,17,4.382352941176471,2297.3529411764707
AZ,Tucson,85731,NA,0,NA,Inf
AZ,Tucson,85732,NA,0,NA,Inf
AZ,Tucson,85733,NA,0,NA,Inf
AZ,Tucson,85734,NA,0,NA,Inf
AZ,Tucson,85735,11108,0,NA,Inf
AZ,Tucson,85736,4998,0,NA,Inf
AZ,Tucson,85737,21293,18,21.944444444444443,1182.9444444444443
AZ,Tucson,85738,NA,0,NA,Inf
AZ,Tucson,85739,18474,5,-3.8,3694.8
AZ,Tucson,85740,NA,0,NA,Inf
AZ,Tucson,85741,35149,35,32.05714285714286,1004.2571428571429
AZ,Tucson,85742,26868,7,3.857142857142857,3838.285714285714
AZ,Tucson,85743,29552,20,21.6,1477.6
AZ,Tucson,85744,NA,0,NA,Inf
AZ,Tucson,85745,38005,22,8.409090909090908,1727.5
AZ,Tucson,85746,43873,20,3.7,2193.65
AZ,Tucson,85747,25077,19,16.94736842105263,1319.842105263158
AZ,Tucson,85748,17727,10,17.7,1772.7
AZ,Tucson,85749,19121,4,11.875,4780.25
AZ,Tucson,85750,24207,4,10.625,6051.75
AZ,Tucson,85751,NA,0,NA,Inf
AZ,Tucson,85752,NA,0,NA,Inf
AZ,Tucson,85754,NA,0,NA,Inf
AZ,Tucson,85755,16143,1,152,16143
AZ,Tucson,85756,40965,3,1.6666666666666667,13655
AZ,Tucson,85757,19264,2,-3.75,9632
AZ,Tucson,85775,NA,0,NA,Inf
TN,Nashville,37010,4834,0,NA,Inf
TN,Nashville,37011,NA,0,NA,Inf
TN,Nashville,37013,95717,24,-1.8958333333333333,3988.2083333333335
TN,Nashville,37014,2887,0,NA,Inf
TN,Nashville,37015,17451,6,1.1666666666666667,2908.5
TN,Nashville,37022,6546,0,NA,Inf
TN,Nashville,37024,NA,0,NA,Inf
TN,Nashville,37027,54001,36,21.51388888888889,1500.0277777777778
TN,Nashville,37029,6188,0,NA,Inf
TN,Nashville,37031,3740,0,NA,Inf
TN,Nashville,37032,4529,0,NA,Inf
TN,Nashville,37035,3607,0,NA,Inf
TN,Nashville,37036,5594,0,NA,Inf
TN,Nashville,37037,7759,0,NA,Inf
TN,Nashville,37046,4728,0,NA,Inf
TN,Nashville,37048,6584,0,NA,Inf
TN,Nashville,37049,3268,0,NA,Inf
TN,Nashville,37051,3131,0,NA,Inf
TN,Nashville,37055,27549,0,NA,Inf
TN,Nashville,37056,NA,0,NA,Inf
TN,Nashville,37060,2263,0,NA,Inf
TN,Nashville,37062,11364,0,NA,Inf
TN,Nashville,37063,NA,0,NA,Inf
TN,Nashville,37064,55664,37,14.837837837837839,1504.4324324324325
TN,Nashville,37065,NA,0,NA,Inf
TN,Nashville,37066,48248,21,7.738095238095238,2297.5238095238096
TN,Nashville,37067,28773,34,43.98529411764706,846.2647058823529
TN,Nashville,37068,NA,0,NA,Inf
TN,Nashville,37069,19952,2,16.25,9976
TN,Nashville,37070,NA,0,NA,Inf
TN,Nashville,37071,NA,0,NA,Inf
TN,Nashville,37072,32190,17,5.617647058823529,1893.5294117647059
TN,Nashville,37073,13999,3,11.333333333333334,4666.333333333333
TN,Nashville,37075,63768,34,10.264705882352942,1875.5294117647059
TN,Nashville,37076,39026,32,10.828125,1219.5625
TN,Nashville,37077,NA,0,NA,Inf
TN,Nashville,37080,6980,4,-2,1745
TN,Nashville,37082,6516,3,5.333333333333333,2172
TN,Nashville,37085,4684,0,NA,Inf
TN,Nashville,37086,34216,14,-2.357142857142857,2444
TN,Nashville,37087,45282,0,NA,Inf
TN,Nashville,37088,NA,0,NA,Inf
TN,Nashville,37089,NA,0,NA,Inf
TN,Nashville,37090,14126,3,-0.16666666666666666,4708.666666666667
TN,Nashville,37115,40778,27,5.462962962962963,1510.2962962962963
TN,Nashville,37116,NA,0,NA,Inf
TN,Nashville,37118,902,0,NA,Inf
TN,Nashville,37119,NA,0,NA,Inf
TN,Nashville,37121,NA,0,NA,Inf
TN,Nashville,37122,55472,35,15.628571428571428,1584.9142857142858
TN,Nashville,37127,17803,0,NA,Inf
TN,Nashville,37128,48096,0,NA,Inf
TN,Nashville,37129,54583,0,NA,Inf
TN,Nashville,37130,57037,0,NA,Inf
TN,Nashville,37131,NA,0,NA,Inf
TN,Nashville,37132,2485,0,NA,Inf
TN,Nashville,37133,NA,0,NA,Inf
TN,Nashville,37135,11320,3,1,3773.3333333333335
TN,Nashville,37136,NA,0,NA,Inf
TN,Nashville,37138,24105,6,-2.0833333333333335,4017.5
TN,Nashville,37141,1523,0,NA,Inf
TN,Nashville,37143,4060,0,NA,Inf
TN,Nashville,37146,7134,9,0.4444444444444444,792.6666666666666
TN,Nashville,37148,23909,1,0,23909
TN,Nashville,37152,NA,0,NA,Inf
TN,Nashville,37153,5890,0,NA,Inf
TN,Nashville,37165,57,0,NA,Inf
TN,Nashville,37167,57611,48,9.145833333333334,1200.2291666666667
TN,Nashville,37172,29098,10,-0.5,2909.8
TN,Nashville,37179,14073,0,NA,Inf
TN,Nashville,37181,1723,0,NA,Inf
TN,Nashville,37184,5876,0,NA,Inf
TN,Nashville,37186,9064,0,NA,Inf
TN,Nashville,37187,7460,0,NA,Inf
TN,Nashville,37188,15148,14,2.357142857142857,1082
TN,Nashville,37189,3965,1,0,3965
TN,Nashville,37201,1554,5,8.2,310.8
TN,Nashville,37202,NA,0,NA,Inf
TN,Nashville,37203,13101,36,28.59722222222222,363.9166666666667
TN,Nashville,37204,14230,16,8.5,889.375
TN,Nashville,37205,24761,11,16.863636363636363,2251
TN,Nashville,37206,25531,4,-7.75,6382.75
TN,Nashville,37207,37560,15,-3.1666666666666665,2504
